text,original_label,original_category,super_category,super_label
"
Not in isolated ground recepticles (usually an unusual color, such as orange
or yellow) often used in low noise, low leakage applications, as mentioned
earlier in the thread.",12,sci.electronics,science,1.0
"/ iftccu:talk.politics.guns / hays@ssd.intel.com (Kirk Hays) /
   3:31 pm  Apr 13, 1993 / 

   >Some of the pro-gun posters in this group own no guns.  The dread
   >""Terminator"", aka ""The Rifleman"", owned no firearms for several
   >years while posting in this group, as an example.  There are
   >others.

For what it is worth, I own no firearms of any sort.  As long-time
readers of this group know, I am dedicated to the RKBA.

This is not about toys.  It is about freedom.",16,talk.politics.guns,politics,3.0
"Hi there

Does anyone know how to get hold of data as well as stock of the
LCD displays used in the NINTENDO GAMEBOY handheld TV game machines?

Any information wouold be MOST appreciated.

Please e-mail any replies to 

arawstorne@eleceng.uct.ac.za

thanks",12,sci.electronics,science,1.0
"To make room for Harkey, the Cubs sent Shawn Boskie down to AAA.
",9,rec.sport.baseball,recreation,2.0
"
Hi!

One of the ASPI-drivers (I think it's the ASPICD) supports a /NORST
paramter, which means to not reset the SCSI bus when it loads. This
fixed the problem a friend of mine was having with his adaptec+tosh 
3401.

Regards,",3,comp.sys.ibm.pc.hardware,technology,0.0
"] Hi there,
] 
] 
] : 	I have 1s/1p/1g  I/O card in my 386/40 PC. 
] : When I plug in wang modem at com4,it works. If I change
] : it to com1- it doesn't. 
] : Program ""chkport"" gives diagnostics like ""possible com /irq
] : conflict at com1"" (with mouse driver in memory).
] 
] Since your IO-card only has one serial port - this should default to COM1 ? 
] Under MS-DOS, you can't share IRQ's - so you'll have to set either your modem
] or your mouse to COM2 ... using different adresses and IRQ's.
] When you set two 'devices' onto the same IRQ - like COM1 and COM3 (or 2 and 4)
] - the 'latter' one will always win, i.e. if you have your mouse on COM1 and
] start using your modem on COM3, your modem should work - but your mouse will
] stop doing so, until reboot.
] 
] It should be no problem, setting your modem to COM2 ? (you didn't write 
] anything about other peripherals ...)
] 
] I hope, it helped a bit ....					By(t)e, Oli.
] 
] 

Hi,

I'm kind of new at the pc stuff.  My machine has 4 serial ports.  Com 1 and3
and 2 &4 share same IRQs.  You mean I can't plug a mouse into Com1 and a modem
into com3 and expect both to work?

If Answer is NO, should I change IRQ's for com ports to be different?  And,
does it really matter which IRQ I set the ports too?

Phil

--------------------------------------------------------------------
Phil Hunt                          ""Wherever you go, there you are!""
Howtek, Inc.		                   ",3,comp.sys.ibm.pc.hardware,technology,0.0
"I am using xnlock as the screensaver for a PC-based X server. However,
after an interval of no activity, my X session ends. This does not
happen when I use xscreensaver. 

My screensave command is fired up from my .xsession like this:

xautolock -time 1 -locker xnlock -corners ++++ -cornerdelay 1 &

My hypothesis is that xdm (I use xdmcp to start my X session) detects
a period of inactivity from the server, then terminates the session.
However, for some reason, this does not happen with xscreensaver. Is
there a workaround?

I'd prefer responses via e-mail.

Thanks.




",5,comp.windows.x,technology,0.0
": > 
: > : And the measure of current, Amp, is actually named after both the AMP company
: > : and the Amphenol company.  Both companies revolutionized electronics by
: > : simulatenously realizing that the performance of connectors and sockets 
: > : were affected by the amount of current running through the wires.
: > 
: > Sorry.  The unit for current is the AMPERE which is the name of a french-man
: > named AMPERE who studied electrical current.  The term AMP is just an abbreviation
: > of it.  The company AMP came after the AMPERE unit was already in use.
: >   
: > : The Ohmite company was the first to characterize resistances by numbers, thus
: > : our use of the Ohms...
: > 
: > I don't know about this one, but it doesn't sound right.
: Are you (two) joking?
: Is the entire Internet flaming you (two)?
: Ahh!, now I remember that Ohmite company was the first introducing ""the pink
: colored resistor"", only for electronics working females ;-)
: -- 
: Manuel Arrevola Velasco   ||||| True e-mail: manolo@taf.fundesco.es |||||
: DoD #1033
: 
Yes, I have taken a bit of flame on this one.  I must've been half asleep when
I posted a response to Joseph.

Greggo.",12,sci.electronics,science,1.0
"


Why do you title this ""News you will miss"" ?

There have been at least three front-page stories on it in the L.A. Times.

I wouldn't exactly call that a media cover-up.




___Samuel___
Mossad Special Agent ID314159
Media Spiking & Mind Control Division
Los Angeles Offices",17,talk.politics.mideast,politics,3.0
"



Does this need to have anything to do with disk compression? I have 
experienced the same thing a couple of times myself, but *without* any disk 
compression stuff installed. (For example, guess what happened when Norton 
SpeedDisk once crashed during defragmenting!)

Bjorn-

* * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
   Bjorn Myrland                  *  bjorn.myrland@sipaa.sintef.no
   SINTEF Safety and Reliability  *  N-7034 Trondheim, NORWAY",2,comp.os.ms-windows.misc,technology,0.0
